Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score
224,2298,The Murder of Roger Ackroyd,Agatha Christie,1926,British,English,300-400,58000,224,1018
225,2398,Death of Virgil,Hermann Broch,1945,Austrian,German,400-500,153000,225,1017
226,1695,Molloy,Samuel Beckett,1951,Irish,French,200-300,72000,226,1016
227,523,The Double Helix,James D. Watson,1968,American,English,200-300,64000,227,1012
228,936,The Counterfeiters,André Gide,1925,French,French,200-400,95000,228,1012
229,58,The Moviegoer,Walker Percy,1961,American,English,224,60000,229,1011
230,882,Democracy in America,Alexis de Tocqueville,1835,French,French,300-900,700000,230,1002
231,328,Berlin Alexanderplatz,Alfred Döblin,1929,German,German,200-600,150000,231,985
232,634,Disgrace,J. M. Coetzee,1999,South African,English,220,79000,232,980
233,143,The World According to Garp,John Irving,1978,American,English,437-609,191473,233,979
234,653,The Complete Stories of Flannery O'Connor,Flannery O'Connor,1971,American,English,500-600,,234,978
235,949,Uncle Tom's Cabin,Harriet Beecher Stowe,1852,American,English,300-500,166622,235,975
236,451,Hunger,Knut Hamsun,1890,Norwegian,Norwegian,100-300,64000,236,974
237,93,Tropic of Cancer,Henry Miller,1934,American,English,300-400,80000,237,972
238,2446,Nausea,Jean Paul Sartre,1938,French,French,150-250,70000,238,970
239,2259,East of Eden,John Steinbeck,1952,American,English,600-800,225000,239,958
240,572,The Godfather,Mario Puzo,1969,American,English,400-500,141000,240,958
241,459,Independent People,Halldor Laxness,1934,Icelandic,Icelandic,400-500,200000,241,957
242,123,Of Mice and Men,John Steinbeck,1937,American,English,100-200,29000,242,955
243,537,Anne of Green Gables,L. M. Montgomery,1908,Canadian,English,300-400,97000,243,945
244,944,Oblomov,Ivan Goncharov,1859,Russian,Russian,200-600,200000,244,945
245,224,Nostromo,Joseph Conrad,1904,British,English,500-600,170000,245,944
246,1,The Adventures of Augie March,Saul Bellow,1953,American,English,500-600,156000,246,944
247,418,Collected Poems of W. B. Yeats,William Butler Yeats,1933,Irish,English,576,,247,941
248,231,"Winesburg, Ohio",Sherwood Anderson,1919,American,English,200-300,52000,248,940
249,440,Medea,Euripides,-431,Greek,Ancient greek,30-50,,249,939
250,2573,The Forsyte Saga,John Galsworthy,1906,British,English,872,555000,250,935
251,2286,The Tartar Steppe,Dino Buzzati,1940,Italian,Italian,200-300,60000,251,931
252,488,The Death of Ivan Ilyich,Leo Tolstoy,1886,Russian,Russian,50-150,22000,252,931
253,6,"Are You There God? It's Me, Margaret",Judy Blume,1970,American,English,150-200,25000,253,929
254,429,The Time Machine,H. G. Wells,1895,British,English,80-120,32000,254,928
255,1688,The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,1782,French,French,600-800,267000,255,925
256,447,Epic of Gilgamesh,Unknown,-2100,Multiple,Akkadian,304,20000,256,924
257,561,The Secret History,Donna Tartt,1992,American,English,523,223000,257,924
258,197,Dangerous Liaison,Pierre Choderlos de Laclos,1782,French,French,400-500,175000,258,924
259,2153,A Tree Grows in Brooklyn,Betty Smith,1943,American,English,300-500,145092,259,921
260,1282,The Shining,Stephen King,1977,American,English,447-659,163000,260,918
261,2607,The Waves,Virginia Woolf,1931,British,English,200-300,83000,261,917
262,1067,The Republic,Plato,-379,Greek,Ancient greek,300-500,118000,262,913
263,173,Women in Love,D. H. Lawrence,1920,British,English,400-500,134000,263,911
264,3149,The Lover,Marguerite Duras,1984,French,French,117-148,42000,264,908
265,243,Of Human Bondage,W. Somerset Maugham,1915,British,English,600-700,250000,265,907
266,232,The Ambassadors,Henry James,1903,American,English,400-500,112000,266,903
267,431,Foundation,Isaac Asimov,1951,American,English,200-300,70000,267,892
268,1079,Labyrinths,Jorge Luis Borges,1962,Argentinian,Spanish,200-300,,268,891
269,3177,The Radetzky March,Joseph Roth,1932,Austrian,German,300-400,100000,269,890
270,1491,Thus Spake Zarathustra,Friedrich Nietzsche,1883,German,German,300-500,64000,270,888
271,42,Herzog,Saul Bellow,1964,American,English,300-400,103000,271,887
272,885,Leviathan,Thomas Hobbes,1651,British,English,300-500,150000,272,887
273,2142,The Left Hand Of Darkness,Ursula K. Le Guin,1969,American,English,300-350,97000,273,884
274,461,Pippi Longstocking,Astrid Lindgren,1945,Swedish,Swedish,100-200,30000,274,882
275,136,Song of Solomon,Toni Morrison,1977,American,English,337-372,92944,275,880
276,941,The Pickwick Papers,Charles Dickens,1836,British,English,800-1000,183349,276,878
277,463,Mahabharata,Vyasa,-400,Indian,Sanskrit,5000-10000,200000,277,870
278,2462,Siddhartha,Hermann Hesse,1922,German,German,152,50000,278,869
279,1129,Invisible Cities,Italo Calvino,1972,Italian,Italian,165,36000,279,865
280,218,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,British,English,64-178,25000,280,856
281,174,"Look Homeward, Angel",Thomas Wolfe,1929,American,English,500-600,209000,281,856
282,724,Homage to Catalonia,George Orwell,1938,British,English,230-300,70000,282,854
283,54,Lucky Jim,Kingsley Amis,1954,British,English,200-300,84000,283,849
284,2644,A Hero of Our Time,Mikhail Lermontov,1840,Russian,Russian,150-200,64000,284,849
285,3154,Life and Fate,Vasily Grossman,1980,Russian,Russian,800-900,290000,285,848
286,2010,Fear and Loathing in Las Vegas,Hunter S. Thompson,1971,American,English,200-220,42000,286,848
287,5697,Peter And Wendy,J. M. Barrie,1911,Scottish,English,145,47790,287,847
288,3411,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824,Scottish,English,200-300,78000,288,844
289,63,Never Let Me Go,Kazuo Ishiguro,2005,"British, Japanese",English,288,88500,289,842
290,749,The Structure of Scientific Revolutions,Thomas Kuhn,1962,American,English,200-300,114000,290,840
291,497,The House of the Spirits,Isabel Allende,1982,Chilean,Spanish,400-500,145000,291,832
292,2653,The Chronicles of Narnia,C. S. Lewis,1950,British,English,100-250,778045,292,831
293,598,Oresteia,Aeschylus,-458,Greek,Ancient greek,150-200,24000,293,828
294,2561,The Posthumous Memoirs of Bras Cubas,Machado de Assis,1881,Brazilian,Portuguese,160-320,68000,294,825
295,2565,Tarzan of the Apes,Edgar Rice Burroughs,1912,American,English,200-400,70000,295,824
296,148,Finnegans Wake,James Joyce,1939,Irish,English,590-628,215000,296,823
297,245,The Alexandria Quartet,Lawrence Durrell,1957,British,English,884,495000,297,819
298,24,A Dance to the Music of Time,Anthony Powell,1951,British,English,240-300,,298,818
299,172,Wings of the Dove,Henry James,1902,American,English,400-500,150000,299,817
300,169,Bonfire of the Vanities,Tom Wolfe,1987,American,English,600-700,190000,300,817
301,1375,Where the Wild Things Are,Maurice Sendak,1963,American,English,40,338,301,816
302,347,The Stories of John Cheever,John Cheever,1978,American,English,700-800,200000,302,814
303,185,Babbitt,Sinclair Lewis,1922,American,English,300-400,95000,303,811
304,141,The Call of the Wild,Jack London,1903,American,English,60-100,32000,304,807
305,370,The Road,Cormac McCarthy,2006,American,English,287,58000,305,807
306,693,"Speak, Memory",Vladimir Nabokov,1951,American,English,300-350,97000,306,806
307,186,Kim,Rudyard Kipling,1901,British,English,200-500,95000,307,806
308,2609,La Regenta,Clarín,1884,Spanish,Spanish,300-800,314042,308,805
309,1242,Let Us Now Praise Famous Men,James Agee,1941,American,English,400-500,128000,309,805
310,2461,"Cry, the Beloved Country",Alan Paton,1948,South African,English,200-300,83000,310,804
311,1694,Malone Dies,Samuel Beckett,1951,Irish,French,100-200,31000,311,798
312,9001,La Celestina,Fernando de Rojas,1499,Spanish,Spanish,200-250,22000,312,794
313,597,2666,Roberto Bolaño,2004,Chilean,Spanish,900-1100,325000,313,792
314,1275,The Wind-Up Bird Chronicle,Haruki Murakami,1994,Japanese,Japanese,610-640,208000,314,791
315,1701,The Complete Works of Plato,Plato,-387,Greek,Ancient greek,3506,,315,791
316,695,"The General Theory of Employment, Interest and Money",John Maynard Keynes,1936,British,English,400-500,134000,316,788
317,913,Father Goriot,Honoré de Balzac,1835,French,French,300-400,95000,317,788
318,153,The Awakening,Kate Chopin,1899,American,English,100-200,39000,318,787
319,2895,The Daughter of Time,Josephine Tey,1951,British,English,206,58270,319,786
320,687,The Education of Henry Adams,Henry Adams,1907,American,English,300-400,126000,320,781
321,74,The Power and the Glory,Graham Greene,1940,British,English,200-300,71000,321,777
322,1640,Meditations,Marcus Aurelius,161,Roman,Greek,200-300,,322,777
323,870,The Electric Kool-Aid Acid Test,Tom Wolfe,1968,American,English,416,108023,323,771
