Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score
459,2549,Richard III,William Shakespeare,1592,British,English,90-120,29000,459,571
460,428,Twenty Thousand Leagues Under the Sea,Jules Verne,1870,French,French,320-480,138126,460,570
461,236,Sister Carrie,Theodore Dreiser,1900,American,English,300-500,145000,461,568
462,3119,The Human Comedy,Honoré de Balzac,1830,French,French,13755,,462,568
463,2012,Goodnight Moon,Margaret Wise Brown,1947,American,English,30-32,130,463,567
464,4354,The Swindler,Francisco de Quevedo,1626,Spanish,Spanish,200-300,64000,464,567
465,28,The Death of the Heart,Elizabeth Bowen,1938,"British, Irish",English,320-400,101473,465,567
466,3215,Effi Briest,Theodor Fontane,1895,German,German,300-400,118000,466,566
467,3807,The Blind Owl,Ṣādiq Hidāyat,1937,Iranian,Persian,100-150,26000,467,565
468,25,The Day of the Locust,Nathanael West,1939,American,English,160-180,50000,468,564
469,421,Rabbit Redux,John Updike,1971,American,English,350-450,121000,469,561
470,3287,The Nicomachean Ethics,Aristotle,-334,Greek,Ancient greek,300-400,116000,470,561
471,391,The Human Stain,Philip Roth,2000,American,English,361,136000,471,560
472,1326,Roots,Alex Haley,1976,American,English,576-688,587287,472,559
473,3795,The Nine Tailors,Dorothy L. Sayers,1934,British,English,300-400,104000,473,558
474,77,Ragtime,E. L. Doctorow,1975,American,English,250-350,72000,474,557
475,2832,The Bluest Eye,Toni Morrison,1970,American,English,160-220,78000,475,557
476,663,"So Long, See You Tomorrow",William Maxwell,1980,American,English,135-160,59000,476,557
477,212,The Way We Live Now,Anthony Trollope,1875,British,English,800-1000,362000,477,556
478,257,The Thirty-Nine Steps,John Buchan,1915,British,English,100-200,60988,478,555
479,3452,Titus Groan,Mervyn Peake,1946,British,English,400-500,138000,479,554
480,3900,Arrow of God,Chinua Achebe,1964,Nigerian,English,210-230,96000,480,554
481,1689,Reflections on the Revolution in France,Edmund Burke,1790,British,English,200-300,96000,481,553
482,2637,The Garden of the Finzi-Continis,Giorgio Bassani,1962,Italian,Italian,300-400,,482,552
483,607,The Histories of Herodotus,Herodotus,-450,Greek,Ancient greek,500-700,200000,483,552
484,2626,The Time of the Hero,Mario Vargas Llosa,1963,Peruvian,Spanish,200-400,,484,551
485,9678,The Aleph And Other Stories,Jorge Luis Borges,1949,Argentinian,Spanish,200-300,,485,551
486,3455,Testament Of Youth,Vera Brittain,1933,British,English,600-700,250000,486,550
487,831,The Joy of Cooking,"Irma S. Rombauer, Marion Rombauer Becker, Ethan Becker",1931,American,English,1200-1328,,487,548
488,62,Neuromancer,William Gibson,1984,"American, Canadian",English,271-320,78973,488,547
489,3183,Perfume,Patrick Suskind,1985,German,German,250-300,51000,489,547
490,2645,Moll Flanders,Daniel Defoe,1722,British,English,320-370,138582,490,547
491,2563,Poems of W. H. Auden,W. H. Auden,1930,British,English,200-300,,491,546
492,1084,I'm Not Stiller,Max Frisch,1954,Swiss,German,300-400,,492,540
493,744,The Open Society and Its Enemies,Karl Popper,1945,British,English,800-1000,,493,538
494,4555,Harriet the Spy,Louise Fitzhugh,1964,American,English,300-350,58555,494,537
495,271,If on a Winter's Night a Traveller,Italo Calvino,1979,Italian,Italian,200-300,56000,495,537
496,700,The Civil War,Shelby Foote,1958,American,English,2934,1200000,496,537
497,39,A Handful of Dust,Evelyn Waugh,1934,British,English,200-300,68000,497,537
498,812,Philosophical Investigations,Ludwig Wittgenstein,1953,Austrian,German,200-300,50000,498,536
499,3038,Interview with the Vampire,Anne Rice,1976,American,English,300-400,242000,499,535
500,3031,Call to Arms,Lu Xun,1922,Chinese,Chinese,200-300,,500,531
