Rank,Book,Authors,Year,Country,Language
254,The Time Machine,H. G. Wells,1895,British,English
255,The Confessions of Jean-Jacques Rousseau,Jean-Jacques Rousseau,1782,French,French
256,Epic of Gilgamesh,Unknown,-2100,Multiple,Akkadian
258,Dangerous Liaison,Pierre Choderlos de Laclos,1782,French,French
262,The Republic,Plato,-379,Greek,Ancient greek
263,Women in Love,D. H. Lawrence,1920,British,English
264,Of Human Bondage,W. Somerset Maugham,1915,British,English
265,The Ambassadors,Henry James,1903,American,English
270,Thus Spake Zarathustra,Friedrich Nietzsche,1883,German,German
272,Leviathan,Thomas Hobbes,1651,British,English
276,The Pickwick Papers,Charles Dickens,1836,British,English
277,Mahabharata,Vyasa,-400,Indian,Sanskrit
278,Siddhartha,Hermann Hesse,1922,German,German
296,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,1886,British,English
282,A Hero of Our Time,Mikhail Lermontov,1840,Russian,Russian
286,Peter And Wendy,J. M. Barrie,1911,Scottish,English
287,The Private Memoirs and Confessions of a Justified Sinner,James Hogg,1824,Scottish,English
292,Oresteia,Aeschylus,-458,Greek,Ancient greek
293,The Posthumous Memoirs of Bras Cubas,Machado de Assis,1881,Brazilian,Portuguese
294,Tarzan of the Apes,Edgar Rice Burroughs,1912,American,English
299,Wings of the Dove,Henry James,1902,American,English
303,Babbitt,Sinclair Lewis,1922,American,English
304,The Call of the Wild,Jack London,1903,American,English
306,Kim,Rudyard Kipling,1901,British,English
308,La Regenta,Clarín,1884,Spanish,Spanish
312,La Celestina,Fernando de Rojas,1499,Spanish,Spanish
314,The Complete Works of Plato,Plato,-387,Greek,Ancient greek
316,Father Goriot,Honoré de Balzac,1835,French,French
317,The Awakening,Kate Chopin,1899,American,English
319,The Education of Henry Adams,Henry Adams,1907,American,English
321,Meditations,Marcus Aurelius,161,Roman,Greek
325,The Old Wives' Tale,Arnold Bennett,1908,British,English
328,Kristin Lavransdatter,Sigrid Undset,1920,Norwegian,Norwegian
330,Our Mutual Friend,Charles Dickens,1864,British,English
333,The Elements of Style,"E. B. White, William Strunk Jr.",1918,American,English
335,The Mayor of Casterbridge,Thomas Hardy,1886,British,English
338,The Poems of Robert Frost,Robert Frost,1913,American,English
341,A Room With a View,E. M. Forster,1908,British,English
342,The Mill on the Floss,George Eliot,1860,British,English
345,The Secret Garden,Frances Hodgson Burnett,1911,British,English
347,The Princess of Cleves,Madame de La Fayette,1678,French,French
348,Clarissa,Samuel Richardson,1748,British,English
349,Memoirs From Beyond the Grave,François-Auguste-René de Chateaubriand,1849,French,French
353,Journey to the West,Wu Cheng'en,1592,Chinese,Chinese
355,History of My Life,Giacomo Casanova,1822,Italian,French
361,A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,British,English
363,Ivanhoe,Sir Walter Scott,1819,British,English
370,The Moonstone,Wilkie Collins,1868,British,English
373,The Souls of Black Folk,W. E. B. Du Bois,1903,American,English
377,Germinal,Émile Zola,1885,French,French
380,Relativity,Albert Einstein,1916,German,German
381,War of the Worlds,H. G. Wells,1898,British,English
383,The Sorrows of Young Werther,Johann Wolfgang von Goethe,1774,German,German
384,Parade's End,Ford Madox Ford,1924,British,English
388,The Confusions of Young Törless,Robert Musil,1906,Austrian,German
390,Jude the Obscure,Thomas Hardy,1895,British,English
392,Ramayana,Valmiki,-200,Indian,Sanskrit
396,Das Kapital,Karl Marx,1867,German,German
397,Le Grand Meaulnes,Henri Alain-Fournier,1913,French,French
398,The Federalist Papers,"Alexander Hamilton, James Madison, John Jay",1787,American,English
399,We,Yevgeny Zamyatin,1924,Russian,Russian
400,Notes from the Underground,Fyodor Dostoevsky,1864,Russian,Russian
407,The Notebooks of Malte Laurids Brigge,Rainer Maria Rilke,1910,German,German
408,Eugene Onegin,Alexander Pushkin,1833,Russian,Russian
409,The Prophet,Kahlil Gibran,1923,Lebanese,English
411,Critique of Pure Reason,Immanuel Kant,1781,German,German
413,The Adventures of Tom Sawyer,Mark Twain,1876,American,English
414,The Ragged Trousered Philanthropists,"Robert Tressell, Peter Miles",1914,British,English
419,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,1921,Austrian,German
420,Bartleby the Scrivener,Herman Melville,1853,American,English
421,Oedipus at Colonus,Sophocles,-401,Greek,Ancient greek
423,Melmoth the Wanderer,Charles Robert Maturin,1820,British,English
424,Pensées,Blaise Pascal,1670,French,French
428,Eminent Victorians,Lytton Strachey,1918,British,English
429,Fortunata and Jacinta,Benito Pérez Galdós,1887,Spanish,Spanish
432,A Doll's House,Henrik Ibsen,1879,Norwegian,Norwegian
434,Household Tales,Brothers Grimm,1812,German,German
435,The Betrothed,Alessandro Manzoni,1827,Italian,Italian
439,The Social Contract,Jean-Jacques Rousseau,1762,French,French
441,Parallel Lives,Plutarch,-100,Greek,Greek
443,The Hunchback of Notre-Dame,Victor Hugo,1831,French,French
444,Poems by Machado,Antonio Machado,1907,Spanish,Spanish
446,Jacques the Fatalist and His Master,Denis Diderot,1796,French,French
450,The Secret Agent,Joseph Conrad,1907,British,English
452,Facundo,Domingo Faustino Sarmiento,1845,Argentinian,Spanish
454,De Rerum Natura,Lucretius,55,Roman,Latin
456,Bouvard et Pécuchet,Gustave Flaubert,1881,French,French
457,On Liberty,John Stuart Mill,1859,British,English
458,Dubliners,James Joyce,1914,Irish,English
459,Richard III,William Shakespeare,1592,British,English
460,Twenty Thousand Leagues Under the Sea,Jules Verne,1870,French,French
462,Sister Carrie,Theodore Dreiser,1900,American,English
461,The Human Comedy,Honoré de Balzac,1830,French,French
464,The Swindler,Francisco de Quevedo,1626,Spanish,Spanish
466,Effi Briest,Theodor Fontane,1895,German,German
470,The Nicomachean Ethics,Aristotle,-334,Greek,Ancient greek
477,The Way We Live Now,Anthony Trollope,1875,British,English
478,The Thirty-Nine Steps,John Buchan,1915,British,English
481,Reflections on the Revolution in France,Edmund Burke,1790,British,English
483,The Histories of Herodotus,Herodotus,-450,Greek,Ancient greek
490,Moll Flanders,Daniel Defoe,1722,British,English
500,Call to Arms,Lu Xun,1922,Chinese,Chinese
501,The Vicar of Wakefield,Oliver Goldsmith,1766,British,English
505,The Castle of Otranto,Horace Walpole,1764,British,English
506,Complete Poems of Giacomo Leopardi,Giacomo Leopardi,1831,Italian,Italian
507,Quo Vadis,Henryk Sienkiewicz,1895,Polish,Polish
509,Stories of Guy de Maupassant,Guy de Maupassant,1880,French,French
511,The Varieties of Religious Experience,William James,1902,American,English
513,The Custom of the Country,Edith Wharton,1913,American,English
514,Encyclopedia Britannica,Encyclopedia Britannica,1768,British,English
516,The Wonderful Wizard of Oz,L. Frank Baum,1900,American,English
520,Cousin Bette,Honoré de Balzac,1846,French,French
524,New Grub Street,George Gissing,1891,British,English
527,Romance of the Three Kingdoms,Guanzhong Luo,1400,Chinese,Chinese
529,Ethics,Baruch de Spinoza,1677,Dutch,Latin
530,The Decline and Fall of the Roman Empire,Edward Gibbon,1776,British,English
531,The Duino Elegies,Rainer Maria Rilke,1923,German,German
533,The Monk,Matthew Lewis,1796,British,English
534,Platero,Juan Ramón Jiménez,1914,Spanish,Spanish
535,The Book of Job,Unknown,-600,Israeli,Hebrew
537,Through the Looking Glass,Lewis Carroll,1871,British,English
538,The Book of the City of Ladies,Christine De Pizan,1405,French,French
541,Sense and Sensibility,Jane Austen,1811,British,English
543,Black Beauty,Anna Sewell,1877,British,English
551,Uncle Silas,Sheridan Le Fanu,1864,Irish,English
554,Oroonoko,Aphra Behn,1688,British,English
557,Ethan Frome,Edith Wharton,1911,American,English
563,The Adventures of Oliver Twist,Charles Dickens,1837,British,English
566,The Golden Ass,Apuleius,158,Roman,Latin
570,The Immoralist,André Gide,1902,French,French
573,Lost Illusions,Honoré de Balzac,1837,French,French
575,The Cherry Orchard,Anton Chekhov,1904,Russian,Russian
580,Three Sisters,Anton Chekhov,1901,Russian,Russian
583,The Wealth of Nations,Adam Smith,1776,Scottish,English
584,The Lady with the Dog,Anton Chekhov,1899,Russian,Russian
587,Adam Bede,George Eliot,1859,British,English
589,Barchester Towers,Anthony Trollope,1857,British,English
592,The Island of Doctor Moreau,H. G. Wells,1896,British,English
593,In Our Time,Ernest Hemingway,1925,American,English
595,Maldoror,Comte de Lautréamont,1868,French,French
598,Far from the Madding Crowd,Thomas Hardy,1874,British,English
600,Main Street,Sinclair Lewis,1920,American,English
603,Jakob Von Gunten,Robert Walser,1909,Swiss,German
607,The Golden Bowl,Henry James,1904,American,English
608,Dream of the Red Chamber,Cao Xueqin,1754,Chinese,Chinese
610,The Art of War,Sun Tzu,-500,Chinese,Classical chinese
619,North and South,Elizabeth Gaskell,1855,British,English
626,Meditations on First Philosophy,Rene Descartes,1641,French,Latin
627,The Manuscript Found in Saragossa,Jan Potocki,1805,Polish,French
631,The Last of the Mohicans,James Fenimore Cooper,1826,American,English
633,The Adventures of Caleb Williams,William Godwin,1794,British,English
635,Manhattan Transfer,John Dos Passos,1925,American,English
637,The Waning of the Middle Ages,Johan Huizinga,1919,Dutch,Dutch
640,The Golden Bough,James George Frazer,1890,British,English
644,Electra,Sophocles,-409,Greek,Ancient greek
649,Silas Marner,George Eliot,1861,British,English
653,Death in Venice,Thomas Mann,1912,German,German
654,The Man Who Was Thursday,G. K. Chesterton,1908,British,English
657,The Sonnets,William Shakespeare,1609,British,English
658,Thérèse Raquin,Émile Zola,1867,French,French
659,The House On The Borderland And Other Novels,William Hope Hodgson,1908,British,English
660,Poems Of Thomas Hardy,Thomas Hardy,1898,British,English
662,The Red Room,August Strindberg,1879,Swedish,Swedish
665,Life Is a Dream,Pedro Calderón de la Barca,1635,Spanish,Spanish
668,Romeo and Juliet,William Shakespeare,1597,British,English
669,Growth of the Soil,Knut Hamsun,1917,Norwegian,Norwegian
670,The Bacchae,Euripides,-405,Greek,Ancient greek
672,The History of the Peloponnesian War,Thucydides,-410,Greek,Ancient greek
675,The Tale of Peter Rabbit,Beatrix Potter,1902,British,English
673,Letters from a Stoic,Seneca,64,Roman,Latin
676,Ghost Stories Of An Antiquary,M. R. James,1904,British,English
677,Rhymes And Legends,Gustavo Adolfo Bécquer,1871,Spanish,Spanish
681,The Expedition of Humphry Clinker,Tobias Smollett,1771,British,English
683,Alcools,Guillaume Apollinaire,1913,French,French
690,Way of All Flesh,Samuel Butler,1903,British,English
691,Daniel Deronda,George Eliot,1876,British,English
695,Drunkard,Émile Zola,1877,French,Unknown
697,Le Morte d'Arthur,Thomas Malory,1485,British,Middle english
698,Rights of Man,Thomas Paine,1791,British,English
702,Eugenie Grandet,Honoré de Balzac,1833,French,French
713,Petrarch's Songbook,Francesco Petrarca,1341,Italian,Italian
715,The Life of Lazarillo de Tormes,Unknown,1554,Spanish,Spanish
716,The Water Margin,Shi Naian,1370,Chinese,Chinese
719,Lives of the Artists,Giorgio Vasari,1550,Italian,Italian
721,Annals,Cornelius Tacitus,109,Roman,Latin
724,Green Henry,Gottfried Keller,1855,Swiss,German
725,The Lusiad,Luís Vaz Camões,1572,Portuguese,Portuguese
727,The People of Hemsö,August Strindberg,1887,Swedish,Swedish
729,The Solitudes,Luis de Góngora,1613,Spanish,Spanish
735,Vathek,William Beckford,1786,British,French
740,The Worst Journey in the World,Apsley Cherry-Garrard,1922,British,English
745,Uncle Vanya,Anton Chekhov,1897,Russian,Russian
744,Hadrian the Seventh,Frederick Rolfe,1904,British,English
749,The True History of the Conquest of New Spain,Bernal Díaz del Castillo,1632,Spanish,Spanish
750,The Principles of Psychology,William James,1890,American,English
753,Pamela,Samuel Richardson,1740,British,English
754,Bel Ami,Guy de Maupassant,1885,French,French
763,King Solomon's Mines,H. Rider Haggard,1885,British,English
766,The Return of the Native,Thomas Hardy,1878,British,English
767,Dialogues Concerning Natural Religion,David Hume,1779,British,English
768,The Mysteries of Udolpho,Ann Radcliffe,1794,British,English
770,The Rainbow,D. H. Lawrence,1915,British,English
772,The Nose,Nikolai Gogol,1836,Russian,Russian
774,Economy and Society,Max Weber,1922,German,German
781,Castle Rackrent,Maria Edgeworth,1800,British,English
786,The Tenant of Wildfell Hall,Anne Brontë,1848,British,English
791,Greguerias,Ramón Gómez de la Serna,1910,Spanish,Spanish
793,The Enchanted Wanderer,Nikolai Leskov,1873,Russian,Russian
796,The Interior Castle,Teresa of Avila,1588,Spanish,Spanish
797,The Praise of Folly,Erasmus,1511,Dutch,Latin
800,Jean Christophe,Romain Rolland,1904,French,French
802,Women of Trachis,Sophocles,-450,Greek,Ancient greek
803,Philoctetes,Sophocles,-409,Greek,Ancient greek
804,Ajax,Sophocles,-440,Greek,Ancient greek
801,Dom Casmurro,Machado de Assis,1899,Brazilian,Portuguese
808,The Poetry of Luis Cernuda,Luis Cernuda,1901,Spanish,Spanish
809,Tao Te Ching,Lao Tsu,-300,Chinese,Classical chinese
810,Anton Reiser,Karl Philipp Moritz,1785,German,German
811,Chaka,Thomas Mofolo,1925,South African,Sesotho
812,The Stechlin,Theodor Fontane,1898,German,German
817,Kalīla wa-Dimna,Anonymous,750,Iranian,Arabic
820,The Phantom of the Opera,Gaston Leroux,1909,French,French
822,Claudine,Colette,1900,French,French
824,Northanger Abbey,Jane Austen,1817,British,English
826,Discourse on Method,Rene Descartes,1637,French,French
827,Riders of the Purple Sage,Zane Grey,1912,American,English
829,Journey to the Center of the Earth,Jules Verne,1864,French,French
831,Poems of Federico García Lorca,Federico García Lorca,1921,Spanish,Spanish
834,The Theory of the Leisure Class,Thorstein Veblen,1899,American,English
839,Symposium,Plato,-385,Greek,Ancient greek
845,The Quran,Unknown,610,Arabic,Arabic
851,A Sportsman's Notebook,Ivan Turgenev,1852,Russian,Russian
855,The Pillow Book,Sei Shōnagon,1002,Japanese,Japanese
861,The Life of Charlotte Brontë,Elizabeth Gaskell,1857,British,English
867,Evelina,Fanny Burney,1778,British,English
869,Othello,William Shakespeare,1603,British,English
870,Riddle of the Sands,Erskine Childers,1903,British,English
882,Lives of the Caesars,Suetonius,121,Roman,Latin
887,The Red Badge of Courage,Stephen Crane,1895,American,English
888,The Making of Americans,Gertrude Stein,1925,American,English
889,Justine,Marquis de Sade,1791,French,French
893,Simplicius Simplicissimus,Hans Jakob Christoffel von Grimmelshausen,1668,German,German
894,Mein Kampf,Adolf Hitler,1925,German,German
895,The Protestant Ethic and the Spirit of Capitalism,Max Weber,1905,German,German
896,The Life and Opinions of the Tomcat Murr,E. T. A. Hoffmann,1819,German,German
898,Hyperion,Friedrich Holderlin,1797,German,German
899,Rashomon and Seventeen Other Stories,Ryunosuke Akutagawa,1915,Japanese,Japanese
900,Thaïs,Anatole France,1890,French,French
901,Fantômas,"Marcel Allain, Pierre Souvestre",1911,French,French
903,The House of the Seven Gables,Nathaniel Hawthorne,1851,American,English
905,The Life of a Good-For-Nothing,Joseph von Eichendorff,1826,German,German
906,The Diary of a Nobody,"George Grossmith, Weedon Grossmith",1892,British,English
912,Poems of Alfred Lord Tennyson,Alfred Tennyson,1830,British,English
913,The Life Written By Himself,the Archpriest Avvakum,1666,Russian,Russian
919,"Carry On, Jeeves",P. G. Wodehouse,1925,British,English
917,The Nibelungenlied,Anonymous,1200,German,Middle high german
918,Cane,Jean Toomer,1923,American,English
923,Odessa Stories,Isaac Babel,1923,Ukrainian,Russian
926,Evenings On A Farm Near Dikanka,Nikolai Gogol,1831,Russian,Russian
932,Lysistrata,Aristophanes,-411,Greek,Ancient greek
935,Martin Eden,Jack London,1909,American,English
939,Elective Affinities,Johann Wolfgang von Goethe,1809,German,German
938,Two Treatises of Government,John Locke,1689,British,English
945,Prometheus Bound,Aeschylus,-455,Greek,Ancient greek
953,The Innocence of Father Brown,G. K. Chesterton,1911,British,English
971,Wilhelm Meister's Apprenticeship,Johann Wolfgang von Goethe,1795,German,German
974,The Last Chronicle of Barset,Anthony Trollope,1867,British,English
981,Around the World in Eighty Days,Jules Verne,1872,French,French
982,The Complete Poetry and Prose of William Blake,William Blake,1827,British,English
983,The House of Ulloa,Emilia Pardo Bazán,1886,Spanish,Spanish
985,Cyrano de Bergerac,Edmond Rostand,1897,French,French
990,Aesop's Fables,Aesop,-560,Greek,Ancient greek
991,Apology,Plato,-389,Greek,Ancient greek
992,Pilgrim's Progress,John Bunyan,1678,British,English
994,Max Havelaar,Multatuli,1860,Dutch,Dutch
995,Orthodoxy,G. K. Chesterton,1908,British,English
1005,Six Characters in Search of an Author,Luigi Pirandello,1921,Italian,Italian
1007,Twice-Told Tales,Nathaniel Hawthorne,1837,American,English
1010,Against Nature,J. K. Huysmans,1884,French,French
1011,The Odes,Horace,23,Roman,Latin
1017,Narrative of the Life of Frederick Douglass,Frederick Douglass,1845,American,English
1020,Three Men in a Boat,Jerome K. Jerome,1889,British,English
1026,Corpus Aristotelicum,Aristotle,-322,Greek,Greek
1029,Heidi,Johanna Spyri,1881,Swiss,German
1030,Trent's Last Case,E. C. Bentley,1913,British,English
1039,The Narrative of Arthur Gordon Pym,Edgar Allan Poe,1838,American,English
1042,The Conference Of The Birds,Attar Neyshabouri,1177,Persian,Persian
1043,Rubaiyat of Omar Khayyam,Edward FitzGerald,1859,British,English
1045,The Persians,Aeschylus,-471,Greek,Ancient greek
1046,Mc Teague,Frank Norris,1899,American,English
1047,Erewhon,Samuel Butler,1872,British,English
1050,"The History of Rasselas, Prince of Abissinia","Samuel Johnson, Abraham Raimbach, Robert Smirke",1759,British,English
1054,I Malavoglia,Giovanni Verga,1881,Italian,Italian
1056,Beowulf,Unknown,1000,Unknown,Old english
1059,Some Experiences Of An Irish R.M.,"E.Œ. Somerville, Martin Ross",1899,Irish,English
1062,Solitude,Caterina Albert,1905,Spanish,Catalan
1064,Dialogue Concerning the Two Chief World Systems,Galileo,1632,Italian,Italian
1070,Analects,Confucius,-479,Chinese,Classical chinese
1078,The Queen Of Spades,Alexander Pushkin,1834,Russian,Russian
1079,The Fall of the House of Usher,Edgar Allan Poe,1839,American,English
1085,Manon Lescaut,Abbe Prevost,1731,French,French
1095,Jurgen,James Branch Cabell,1919,American,English
1097,An Enquiry Concerning Human Understanding,David Hume,1748,Scottish,English
1099,Njal's Saga,Iceland,1280,Icelandic,Old norse
1100,Kokoro,Natsume Sōseki,1914,Japanese,Japanese
1104,Troilus And Criseyde,Geoffrey Chaucer,1385,British,Middle english
1201,The Inimitable Jeeves,P. G. Wodehouse,1923,British,English
1107,La Bête humaine,Émile Zola,1890,French,French
1112,Under the Yoke,Ivan Vazov,1888,Bulgarian,Bulgarian
1116,Our Nig,Harriet E. Wilson,1859,American,English
1118,Camera Obscura,Nicolaas Beets,1839,Dutch,Dutch
1117,Panchatantra,Unknown,-300,Multiple,Sanskrit
1122,Eline Vere,Louis Couperus,1889,Dutch,Dutch
1130,Don Juan,Lord Byron,1819,British,English
1133,The George Sand-Gustave Flaubert Letters,Gustave Flaubert,1921,French,French
1134,Mansfield Park,Jane Austen,1814,British,English
1137,The History Of Henry Esmond,William Makepeace Thackeray,1852,British,English
1138,The Professor's House,Willa Cather,1925,American,English
1139,Collected Poems Of Edward Thomas,Edward Thomas,1920,British,English
1144,Principia Mathematica,Isaac Newton,1687,British,Latin
1149,The Quest,Frederik van Eeden,1887,Dutch,Dutch
1149,Forest of the Hanged,Liviu Rebreanu,1922,Romanian,Romanian
1147,Suicide,Emile Durkheim,1897,French,French
1146,The Underdogs,Mariano Azuela,1915,Mexican,Spanish
1151,Nana,Émile Zola,1880,French,French
1163,Three Lives,Gertrude Stein,1909,American,English
1167,The Clouds,Aristophanes,-423,Greek,Ancient greek
1175,De Profundis,Oscar Wilde,1905,British,English
1177,Tartuffe,Molière,1664,French,French
1178,My Brilliant Career,Miles Franklin,1901,Australian,English
1179,Widdershins,G. Oliver Onions,1911,British,English
1183,White Fang,Jack London,1906,American,English
1187,The Importance of Being Earnest,Oscar Wilde,1895,Irish,English
1199,Incidents in the Life of a Slave Girl,Harriet Jacobs,1861,American,English
1200,Ben-Hur,Lew Wallace,1880,American,English
1204,The Man of Feeling,Henry Mackenzie,1771,British,English
1205,Essays and Aphorisms,Arthur Schopenhauer,1851,German,German
1206,Down There,J. K. Huysmans,1891,French,French
1211,The King In Yellow,Robert W. Chambers,1895,American,English
1216,The Poems of Sappho,Sappho,-569,Greek,Ancient greek
1213,Adolphe,Benjamin Constant,1816,Swiss,French
1215,News from Nowhere,William Morris,1890,British,English
1222,Cranford,Elizabeth Gaskell,1851,British,English
1226,The Narrow Road to the Deep North,Matsuo Bashō,1684,Japanese,Japanese
1228,Collected Poems,Stéphane Mallarmé,1887,French,French
1229,Eclipse of the Crescent Moon,Géza Gárdonyi,1899,Hungarian,Hungarian
1227,Gentlemen Prefer Blondes,Anita Loos,1925,American,English
1231,Flatland,Edwin A. Abbott,1884,British,English
1233,The Birds,Aristophanes,-414,Greek,Ancient greek
1234,Bai Ganyo,Aleko Konstantinov,1895,Bulgarian,Bulgarian
1236,Illuminations,Arthur Rimbaud,1886,French,French
1245,Home and the World,Rabindranath Tagore,1916,Indian,Bengali
1250,Essays,Francis Bacon,1597,British,English
1254,The Suppliants,Aeschylus,-463,Greek,Ancient greek
1254,Seven Against Thebes,Aeschylus,-467,Greek,Ancient greek
1261,The Crime of Father Amaro,Eça de Queirós,1875,Portuguese,Portuguese
